time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Very high,Inactive,Very high,Low,-843.0,-140.0,2086.0,-4.0,-1.0,2.0,0.5301143527030945,0.9441065192222595,0.790198564529419
0.0,Very high,Inactive,Very high,Low,-843.0,-140.0,2086.0,-4.0,-1.0,2.0,0.5301143527030945,0.9441065192222595,0.790198564529419
0.021405696868896484,Very high,Inactive,Very high,Low,-887.0,-125.0,2092.0,-4.0,0.0,2.0,,,
0.04159235954284668,Very high,Inactive,Very high,Low,-895.0,-133.0,2093.0,-4.0,1.0,2.0,,,
0.061440467834472656,Very high,Inactive,Very high,Low,-900.0,-158.0,2109.0,-4.0,1.0,3.0,,,
0.06954669952392578,Very high,Inactive,Very high,Low,,,,,,,0.41820892691612244,0.944211483001709,0.790175199508667
0.08307600021362305,Very high,Inactive,Very high,Low,-959.0,-200.0,2152.0,-4.0,2.0,2.0,,,
0.10266256332397461,Very high,Inactive,Very high,Low,-980.0,-205.0,2183.0,-3.0,3.0,2.0,,,
0.12289714813232422,Very high,Inactive,Very high,Low,-999.0,-169.0,2211.0,-3.0,3.0,1.0,,,
0.13239836692810059,Very high,Inactive,Very high,Low,,,,,,,0.38300374150276184,0.9670248627662659,0.7851055860519409
0.14336156845092773,Very high,Inactive,Very high,Low,-954.0,-142.0,2251.0,-3.0,2.0,0.0,,,
0.16379022598266602,Very high,Inactive,Very high,Low,-937.0,-146.0,2206.0,-3.0,2.0,-2.0,,,
0.18496060371398926,Very high,Inactive,Very high,Low,-944.0,-157.0,2149.0,-3.0,3.0,-3.0,,,
0.19692182540893555,Very high,Inactive,Very high,Low,,,,,,,0.3807743787765503,1.0030517578125,0.777099609375
0.20511674880981445,Very high,Inactive,Very high,Low,-913.0,-172.0,2079.0,-2.0,5.0,-5.0,,,
0.2253248691558838,Very high,Inactive,Very high,Low,-914.0,-165.0,2095.0,-2.0,5.0,-5.0,,,
0.24592208862304688,Very high,Inactive,Very high,Low,-932.0,-153.0,2147.0,-2.0,5.0,-6.0,,,
0.2630116939544678,Very high,Inactive,Very high,Low,,,,,,,0.3393016755580902,1.010172724723816,0.7755171656608582
0.2667236328125,Very high,Inactive,Very high,Low,-899.0,-127.0,2266.0,-2.0,5.0,-6.0,,,
0.2886526584625244,Very high,Inactive,Very high,Low,-873.0,-119.0,2310.0,-2.0,4.0,-6.0,,,
0.3081655502319336,Very high,Inactive,Very high,Low,-848.0,-136.0,2396.0,-2.0,4.0,-5.0,,,
0.32363343238830566,Very high,Inactive,Very high,Low,-839.0,-140.0,2437.0,-2.0,3.0,-5.0,,,
0.33255743980407715,Very high,Inactive,Very high,Low,,,,,,,0.4719387888908386,1.0518348217010498,0.766258955001831
0.34453868865966797,Very high,Inactive,Very high,Low,-833.0,-140.0,2465.0,-2.0,2.0,-4.0,,,
0.3650362491607666,Very high,Inactive,Very high,Low,-843.0,-181.0,2465.0,-2.0,1.0,-4.0,,,
0.38542914390563965,Very high,Inactive,Very high,Low,-840.0,-209.0,2442.0,-2.0,1.0,-5.0,,,
0.4067718982696533,Very high,Inactive,Very high,Low,-839.0,-237.0,2415.0,-2.0,2.0,-5.0,,,
0.4075441360473633,Very high,Inactive,Very high,Low,,,,,,,0.5647324919700623,1.1025781631469727,0.7549826502799988
0.4269986152648926,Very high,Inactive,Very high,Low,-805.0,-286.0,2373.0,-1.0,2.0,-3.0,,,
0.44676923751831055,Very high,Inactive,Very high,Low,-785.0,-295.0,2354.0,-1.0,1.0,-3.0,,,
0.4670276641845703,Very high,Inactive,Very high,Low,-756.0,-302.0,2230.0,-1.0,2.0,-3.0,,,
0.48740434646606445,Very high,Inactive,Very high,Low,-777.0,-309.0,2177.0,-1.0,3.0,-3.0,,,
0.49195051193237305,Very high,Inactive,Very high,Low,,,,,,,0.38220924139022827,1.1113182306289673,0.7530403733253479
0.5096776485443115,Very high,Inactive,Very high,Low,-782.0,-316.0,2159.0,-1.0,4.0,-3.0,,,
0.5284428596496582,Very high,Inactive,Very high,Low,-738.0,-348.0,2189.0,-1.0,4.0,-2.0,,,
0.5493450164794922,Very high,Inactive,Very high,Low,-734.0,-369.0,2231.0,-1.0,4.0,-1.0,,,
0.5699832439422607,Very high,Inactive,Very high,Low,-725.0,-377.0,2262.0,-1.0,3.0,-1.0,,,
0.5802822113037109,Very high,Inactive,Very high,Low,,,,,,,0.3227365016937256,1.1004269123077393,0.7554606795310974
0.5897581577301025,Very high,Inactive,Very high,Low,-669.0,-389.0,2272.0,-1.0,3.0,0.0,,,
0.615185022354126,Very high,Inactive,Very high,Low,-643.0,-401.0,2259.0,-1.0,2.0,0.0,,,
0.6307346820831299,Very high,Inactive,Very high,Low,-613.0,-430.0,2248.0,-1.0,1.0,1.0,,,
0.6516304016113281,Very high,Inactive,Very high,Low,-554.0,-516.0,2266.0,-1.0,0.0,4.0,,,
0.6589772701263428,Very high,Inactive,Very high,Low,,,,,,,0.3192845582962036,1.104359745979309,0.7545866966247559
0.6722495555877686,Very high,Inactive,Very high,Low,-538.0,-539.0,2296.0,-1.0,0.0,6.0,,,
0.6927330493927002,Very high,Inactive,Very high,Low,-527.0,-558.0,2326.0,-1.0,-1.0,7.0,,,
0.7130317687988281,Very high,Inactive,Very high,Low,-591.0,-562.0,2371.0,-1.0,0.0,7.0,,,
0.7334961891174316,Very high,Inactive,Very high,Low,-623.0,-552.0,2392.0,-1.0,0.0,7.0,,,
0.7347984313964844,Very high,Inactive,Very high,Low,,,,,,,0.3211558163166046,1.1016485691070557,0.7551891803741455
0.7538866996765137,Very high,Inactive,Very high,Low,-655.0,-516.0,2358.0,-1.0,-1.0,7.0,,,
0.7756142616271973,Very high,Inactive,Very high,Low,-679.0,-499.0,2318.0,-1.0,0.0,6.0,,,
0.794663667678833,Very high,Inactive,Very high,Low,-698.0,-488.0,2302.0,-1.0,0.0,6.0,,,
0.7976987361907959,Very high,Inactive,Very high,Low,,,,,,,0.3174896538257599,1.0999681949615479,0.7555626034736633
0.815971851348877,Very high,Inactive,Very high,Low,-709.0,-500.0,2279.0,-2.0,0.0,6.0,,,
0.837216854095459,Very high,Inactive,Very high,Low,-691.0,-503.0,2273.0,-2.0,0.0,6.0,,,
0.8560941219329834,Very high,Inactive,Very high,Low,-661.0,-499.0,2248.0,-2.0,-1.0,6.0,,,
0.8624866008758545,Very high,Inactive,Very high,Low,,,,,,,0.3087857663631439,1.1011295318603516,0.7553045749664307
0.877485990524292,Very high,Inactive,Very high,Low,-599.0,-533.0,2167.0,-3.0,-1.0,6.0,,,
0.8975753784179688,Very high,Inactive,Very high,Low,-620.0,-540.0,2117.0,-3.0,0.0,5.0,,,
0.9175677299499512,Very high,Inactive,Very high,Low,-637.0,-544.0,2089.0,-3.0,1.0,4.0,,,
0.9319641590118408,Very high,Inactive,Very high,Low,,,,,,,0.3097537159919739,1.1023768186569214,0.7550273537635803
0.9386618137359619,Very high,Inactive,Very high,Low,-600.0,-571.0,2002.0,-3.0,2.0,3.0,,,
0.9594266414642334,Very high,Inactive,Very high,Low,-616.0,-585.0,1958.0,-3.0,3.0,3.0,,,
0.9840483665466309,Very high,Inactive,Very high,Low,-625.0,-601.0,1954.0,-3.0,3.0,2.0,,,
1.0004627704620361,Very high,Inactive,Very high,Low,,,,,,,0.31419628858566284,1.099039077758789,0.7557690739631653
1.0039820671081543,Very high,Inactive,Very high,Low,-632.0,-599.0,1969.0,-3.0,4.0,1.0,,,
1.0240352153778076,Very high,Inactive,Very high,Low,-640.0,-597.0,1998.0,-3.0,5.0,0.0,,,
1.04496431350708,Very high,Inactive,Very high,Low,-626.0,-589.0,2109.0,-3.0,4.0,0.0,,,
1.0604228973388672,Very high,Inactive,Very high,Low,,,,,,,0.31483858823776245,1.1031825542449951,0.754848301410675
1.0607810020446777,Very high,Inactive,Very high,Low,-622.0,-571.0,2143.0,-3.0,4.0,-1.0,,,
1.0817949771881104,Very high,Inactive,Very high,Low,-646.0,-565.0,2185.0,-3.0,4.0,-2.0,,,
1.1027960777282715,Very high,Inactive,Very high,Low,-664.0,-579.0,2206.0,-3.0,3.0,-2.0,,,
1.122619867324829,Very high,Inactive,Very high,Low,-674.0,-591.0,2221.0,-3.0,4.0,-3.0,,,
1.1263055801391602,Very high,Inactive,Very high,Low,,,,,,,0.30776655673980713,1.0818734169006348,0.7595837116241455
1.143334150314331,Very high,Inactive,Very high,Low,-665.0,-631.0,2258.0,-3.0,4.0,-3.0,,,
1.1632404327392578,Very high,Inactive,Very high,Low,-654.0,-646.0,2287.0,-3.0,4.0,-2.0,,,
1.1837360858917236,Very high,Inactive,Very high,Low,-655.0,-656.0,2328.0,-3.0,3.0,-2.0,,,
1.1922130584716797,Very high,Inactive,Very high,Low,,,,,,,0.31123101711273193,1.075252890586853,0.7610549330711365
1.2043266296386719,Very high,Inactive,Very high,Low,-656.0,-611.0,2317.0,-3.0,2.0,-2.0,,,
1.2254273891448975,Very high,Inactive,Very high,Low,-674.0,-594.0,2282.0,-3.0,2.0,-2.0,,,
1.2452616691589355,Very high,Inactive,Very high,Low,-677.0,-586.0,2257.0,-3.0,2.0,-2.0,,,
1.259458303451538,Very high,Inactive,Very high,Low,,,,,,,0.34863340854644775,1.0436679124832153,0.7680737972259521
1.2655973434448242,Very high,Inactive,Very high,Low,-655.0,-603.0,2199.0,-3.0,1.0,-2.0,,,
1.2869110107421875,Very high,Inactive,Very high,Low,-660.0,-589.0,2154.0,-3.0,1.0,-2.0,,,
1.3079352378845215,Very high,Inactive,Very high,Low,-697.0,-562.0,2133.0,-3.0,1.0,-3.0,,,
1.3271386623382568,Very high,Inactive,Very high,Low,-682.0,-515.0,2212.0,-3.0,1.0,-3.0,,,
1.329925775527954,Very high,Inactive,Very high,Low,,,,,,,0.31614628434181213,1.0126277208328247,0.774971604347229
1.347978115081787,Very high,Inactive,Very high,Low,-633.0,-521.0,2278.0,-3.0,0.0,-2.0,,,
1.3687338829040527,Very high,Inactive,Very high,Low,-594.0,-577.0,2352.0,-3.0,1.0,-1.0,,,
1.3886783123016357,Very high,Inactive,Very high,Low,-596.0,-589.0,2410.0,-2.0,1.0,-1.0,,,
1.3974967002868652,Very high,Inactive,Very high,Low,,,,,,,0.29846248030662537,0.9892227053642273,0.7801727056503296
1.4091827869415283,Very high,Inactive,Very high,Low,-596.0,-589.0,2476.0,-3.0,1.0,-1.0,,,
1.4295141696929932,Very high,Inactive,Very high,Low,-604.0,-585.0,2578.0,-3.0,-1.0,0.0,,,
1.4504961967468262,Very high,Inactive,Very high,Low,-613.0,-566.0,2578.0,-4.0,-1.0,-1.0,,,
1.457610845565796,Very high,Inactive,Very high,Low,,,,,,,0.30715063214302063,0.9594788551330566,0.7867825031280518
1.470801830291748,Very high,Inactive,Very high,Low,-594.0,-542.0,2555.0,-4.0,-2.0,-1.0,,,
1.4915282726287842,Very high,Inactive,Very high,Low,-559.0,-508.0,2494.0,-5.0,-2.0,-2.0,,,
1.5117685794830322,Very high,Inactive,Very high,Low,-545.0,-532.0,2439.0,-5.0,-3.0,-2.0,,,
1.5274004936218262,Very high,Inactive,Very high,Low,,,,,,,0.32167530059814453,0.9187720417976379,0.7958284616470337
1.5320208072662354,Very high,Inactive,Very high,Low,-535.0,-565.0,2377.0,-5.0,-2.0,-1.0,,,
1.552964687347412,Very high,Inactive,Very high,Low,-539.0,-591.0,2292.0,-5.0,-2.0,-1.0,,,
1.5730197429656982,Very high,Inactive,Very high,Low,-552.0,-565.0,2279.0,-5.0,-2.0,-1.0,,,
1.5933456420898438,Very high,Inactive,Very high,Low,-565.0,-495.0,2310.0,-6.0,-3.0,-3.0,,,
1.600045919418335,Very high,Inactive,Very high,Low,,,,,,,0.3097960352897644,0.8888295292854309,0.8024823069572449
1.6140599250793457,Very high,Inactive,Very high,Low,-525.0,-502.0,2315.0,-6.0,-4.0,-3.0,,,
1.6366550922393799,Very high,Inactive,Very high,Low,-515.0,-488.0,2332.0,-7.0,-5.0,-4.0,,,
1.6556897163391113,Very high,Inactive,Very high,Low,-505.0,-458.0,2359.0,-7.0,-6.0,-5.0,,,
1.671316385269165,Very high,Inactive,Very high,Low,,,,,,,0.30810466408729553,0.8558065295219421,0.8098207712173462
1.6763956546783447,Very high,Inactive,Very high,Low,-494.0,-397.0,2301.0,-7.0,-5.0,-6.0,,,
1.695667028427124,Very high,Inactive,Very high,Low,-475.0,-355.0,2232.0,-8.0,-4.0,-7.0,,,
1.7181611061096191,Very high,Inactive,Very high,Low,-429.0,-322.0,2129.0,-10.0,-4.0,-9.0,,,
1.7374839782714844,Very high,Inactive,Very high,Low,-425.0,-349.0,2071.0,-12.0,-4.0,-11.0,,,
1.7573602199554443,Very high,Inactive,Very high,Low,-400.0,-386.0,1982.0,-13.0,-3.0,-12.0,,,
1.759075403213501,Very high,Inactive,Very high,Low,,,,,,,0.31110215187072754,0.813571572303772,0.8192062973976135
1.7782456874847412,Very high,Inactive,Very high,Low,-272.0,-494.0,2010.0,-14.0,1.0,-15.0,,,
1.7988512516021729,Very high,Inactive,Very high,Low,-200.0,-580.0,2187.0,-14.0,0.0,-17.0,,,
1.819221019744873,Very high,Inactive,Very high,Low,-178.0,-704.0,2349.0,-14.0,-2.0,-17.0,,,
1.8392481803894043,Very high,Inactive,Very high,Low,,,,,,,0.284233421087265,0.7691596746444702,0.8290756344795227
1.8397026062011719,Very high,Inactive,Very high,Low,-326.0,-870.0,2389.0,-13.0,-3.0,-18.0,,,
1.859713077545166,Very high,Inactive,Very high,Low,-389.0,-903.0,2355.0,-13.0,-3.0,-18.0,,,
1.880676507949829,Very high,Inactive,Very high,Low,-385.0,-932.0,2292.0,-12.0,-4.0,-17.0,,,
1.9009695053100586,Very high,Inactive,Very high,Low,-338.0,-952.0,2097.0,-10.0,-5.0,-14.0,,,
1.9212768077850342,Very high,Inactive,Very high,Low,-317.0,-979.0,2022.0,-9.0,-4.0,-13.0,,,
1.9285807609558105,Very high,Inactive,Very high,Low,,,,,,,0.29651233553886414,0.7246699929237366,0.838962197303772
1.9415991306304932,Very high,Inactive,Very high,Low,-297.0,-998.0,1997.0,-8.0,-3.0,-12.0,,,
1.963165283203125,Very high,Inactive,Very high,Low,-336.0,-986.0,2003.0,-7.0,-2.0,-10.0,,,
1.982562780380249,Very high,Inactive,Very high,Low,-415.0,-948.0,1992.0,-6.0,-2.0,-9.0,,,
2.002361536026001,Very high,Inactive,Very high,Low,,,,,,,0.2972041070461273,0.6822734475135803,0.8483836650848389
2.004185438156128,Very high,Inactive,Very high,Low,-545.0,-942.0,1974.0,-7.0,-5.0,-11.0,,,
2.0233893394470215,Very high,Inactive,Very high,Low,-524.0,-1014.0,1971.0,-7.0,-6.0,-13.0,,,
2.0448482036590576,Very high,Inactive,Very high,Low,-506.0,-1054.0,1997.0,-8.0,-7.0,-15.0,,,
2.0643081665039062,Very high,Inactive,Very high,Low,-510.0,-1047.0,2155.0,-9.0,-10.0,-19.0,,,
2.084946393966675,Very high,Inactive,Very high,Low,-485.0,-1016.0,2267.0,-9.0,-11.0,-20.0,,,
2.0915894508361816,Very high,Inactive,Very high,Low,,,,,,,0.26018622517585754,0.6574809551239014,0.8538931012153625
2.1059889793395996,Very high,Inactive,Very high,Low,-428.0,-994.0,2398.0,-8.0,-11.0,-21.0,,,
2.1260807514190674,Very high,Inactive,Very high,Low,-299.0,-907.0,2611.0,-6.0,-7.0,-20.0,,,
2.1430535316467285,Very high,Inactive,Very high,Low,-270.0,-767.0,2693.0,-6.0,-5.0,-20.0,,,
2.162778615951538,Very high,Inactive,Very high,Low,-300.0,-552.0,2791.0,-5.0,-3.0,-20.0,,,
2.1705126762390137,Very high,Inactive,Very high,Low,,,,,,,0.25663599371910095,0.6432442665100098,0.8570568561553955
2.1832733154296875,Very high,Inactive,Very high,Low,-464.0,-40.0,2864.0,-5.0,-1.0,-24.0,,,
2.205092430114746,Very high,Inactive,Very high,Low,-596.0,161.0,2786.0,-5.0,-1.0,-26.0,,,
2.224480152130127,Very high,Inactive,Very high,Low,-695.0,283.0,2648.0,-3.0,0.0,-27.0,,,
2.244865894317627,Very high,Inactive,Very high,Low,-753.0,349.0,2537.0,-2.0,1.0,-26.0,,,
2.2564492225646973,Very high,Inactive,Very high,Low,,,,,,,0.3161090016365051,0.6591762900352478,0.8535163998603821
2.2663116455078125,Very high,Inactive,Very high,Low,-785.0,396.0,2520.0,-2.0,0.0,-24.0,,,
2.2855224609375,Very high,Inactive,Very high,Low,-743.0,641.0,2639.0,-1.0,-1.0,-16.0,,,
2.307276964187622,Very high,Inactive,Very high,Low,-729.0,885.0,2774.0,-3.0,0.0,-13.0,,,
2.326411724090576,Very high,Inactive,Very high,Low,-653.0,1078.0,2871.0,-6.0,-2.0,-13.0,,,
2.3374714851379395,Very high,Inactive,Very high,Low,,,,,,,0.3370509445667267,0.6782541871070862,0.8492768406867981
2.3474345207214355,Very high,Inactive,Very high,Low,-335.0,1203.0,2654.0,-13.0,-8.0,-19.0,,,
2.3675405979156494,Very high,Inactive,Very high,Low,-216.0,1173.0,2499.0,-16.0,-7.0,-21.0,,,
2.3886797428131104,Very high,Inactive,Very high,Low,-73.0,1051.0,2276.0,-16.0,-3.0,-20.0,,,
2.4086618423461914,Very high,Inactive,Very high,Low,-135.0,1066.0,2297.0,-16.0,0.0,-20.0,,,
2.4290108680725098,Very high,Inactive,Very high,Low,,,,,,,0.3145535886287689,0.6743986010551453,0.8501336574554443
2.42917537689209,Very high,Inactive,Very high,Low,-260.0,1132.0,2438.0,-15.0,3.0,-18.0,,,
2.4504759311676025,Very high,Inactive,Very high,Low,-374.0,1223.0,2615.0,-15.0,3.0,-16.0,,,
2.471135377883911,Very high,Inactive,Very high,Low,-400.0,1317.0,2877.0,-16.0,-2.0,-11.0,,,
2.4902331829071045,Very high,Inactive,Very high,Low,-375.0,1320.0,2820.0,-18.0,-5.0,-11.0,,,
2.5112156867980957,Very high,Inactive,Very high,Low,-341.0,1279.0,2600.0,-19.0,-6.0,-11.0,,,
2.527250289916992,Very high,Inactive,Very high,Low,,,,,,,0.302343487739563,0.6316332221031189,0.8596370816230774
2.5325183868408203,Very high,Inactive,Very high,Low,-280.0,1190.0,2311.0,-19.0,-5.0,-12.0,,,
2.5519933700561523,Very high,Inactive,Very high,Low,-216.0,1102.0,2001.0,-19.0,-4.0,-13.0,,,
2.572922945022583,Very high,Inactive,Very high,Low,-141.0,918.0,1446.0,-20.0,-1.0,-12.0,,,
2.5927767753601074,Very high,Inactive,Very high,Low,-166.0,804.0,1244.0,-20.0,2.0,-11.0,,,
2.6020514965057373,Very high,Inactive,Very high,Low,,,,,,,0.31911754608154297,0.5084847807884216,0.8870033621788025
2.613434314727783,Very high,Inactive,Very high,Low,-326.0,545.0,1159.0,-17.0,6.0,-7.0,,,
2.633837938308716,Very high,Inactive,Very high,Low,-454.0,316.0,1330.0,-15.0,7.0,-4.0,,,
2.654956102371216,Very high,Inactive,Very high,Low,-608.0,0.0,1577.0,-12.0,9.0,-1.0,,,
2.672781229019165,Very high,Inactive,Very high,Low,,,,,,,0.31911754608154297,0.016784848645329475,0.9962700605392456
2.675612449645996,Very high,Inactive,Very high,Low,-868.0,-542.0,1962.0,-6.0,16.0,4.0,,,
2.6951794624328613,Very high,Inactive,Very high,Low,-922.0,-603.0,2186.0,-4.0,19.0,4.0,,,
2.7172086238861084,Very high,Inactive,Very high,Low,-949.0,-615.0,2435.0,-3.0,22.0,0.0,,,
2.7366745471954346,Very high,Inactive,Very high,Low,-872.0,-589.0,2627.0,-7.0,18.0,-13.0,,,
2.737879753112793,Very high,Inactive,Very high,Low,,,,,,,0.31911754608154297,0.0,1.0
2.756666898727417,Very high,Inactive,Very high,Low,-865.0,-579.0,2514.0,-10.0,15.0,-17.0,,,
2.7792177200317383,Very high,Inactive,Very high,Low,-993.0,-552.0,2353.0,-10.0,13.0,-18.0,,,
2.7976021766662598,Very high,Inactive,Very high,Low,-1393.0,-312.0,2302.0,-9.0,9.0,-11.0,,,
2.8152995109558105,Very high,Inactive,Very high,Low,,,,,,,0.31911754608154297,0.02156653255224228,0.9952074289321899
2.8179523944854736,Very high,Inactive,Very high,Low,-1443.0,-203.0,2392.0,-9.0,5.0,-5.0,,,
2.840287446975708,Very high,Inactive,Very high,Low,-1408.0,-172.0,2544.0,-9.0,2.0,0.0,,,
2.859790086746216,Very high,Inactive,Very high,Low,-1271.0,-188.0,3003.0,-12.0,-4.0,3.0,,,
2.8799455165863037,Very high,Inactive,Very high,Low,-1291.0,-132.0,3146.0,-15.0,-8.0,-1.0,,,
2.8817522525787354,Very high,Inactive,Very high,Low,,,,,,,0.31911754608154297,0.054299358278512955,0.9879334568977356
2.9000401496887207,Very high,Inactive,Very high,Low,-1521.0,46.0,3096.0,-19.0,-16.0,-18.0,,,
2.9207873344421387,Very high,Inactive,Very high,Low,-1579.0,29.0,2973.0,-20.0,-19.0,-23.0,,,
2.9421675205230713,Very high,Inactive,Very high,Low,-1574.0,-130.0,2850.0,-19.0,-20.0,-23.0,,,
2.961174726486206,Very high,Inactive,Very high,Low,-1518.0,-641.0,2485.0,-17.0,-19.0,-16.0,,,
2.982459545135498,Very high,Inactive,Very high,Low,-1511.0,-809.0,2280.0,-15.0,-17.0,-13.0,,,
2.985812187194824,Very high,Inactive,Very high,Low,,,,,,,0.32927072048187256,0.5985970497131348,0.8669784069061279
,,,,,,,,,,,,,
1.5117685794830322,Very high,Moving,Very high,Low,-545.0,-532.0,2439.0,-5.0,-3.0,-2.0,,,
1.5274004936218262,Very high,Moving,Very high,Low,,,,,,,0.32167530059814453,0.9187720417976379,0.7958284616470337
1.5320208072662354,Very high,Moving,Very high,Low,-535.0,-565.0,2377.0,-5.0,-2.0,-1.0,,,
1.552964687347412,Very high,Moving,Very high,Low,-539.0,-591.0,2292.0,-5.0,-2.0,-1.0,,,
1.5730197429656982,Very high,Moving,Very high,Low,-552.0,-565.0,2279.0,-5.0,-2.0,-1.0,,,
1.5933456420898438,Very high,Moving,Very high,Low,-565.0,-495.0,2310.0,-6.0,-3.0,-3.0,,,
1.600045919418335,Very high,Moving,Very high,Low,,,,,,,0.3097960352897644,0.8888295292854309,0.8024823069572449
1.6140599250793457,Very high,Moving,Very high,Low,-525.0,-502.0,2315.0,-6.0,-4.0,-3.0,,,
1.6366550922393799,Very high,Moving,Very high,Low,-515.0,-488.0,2332.0,-7.0,-5.0,-4.0,,,
1.6556897163391113,Very high,Moving,Very high,Low,-505.0,-458.0,2359.0,-7.0,-6.0,-5.0,,,
1.671316385269165,Very high,Moving,Very high,Low,,,,,,,0.30810466408729553,0.8558065295219421,0.8098207712173462
1.6763956546783447,Very high,Moving,Very high,Low,-494.0,-397.0,2301.0,-7.0,-5.0,-6.0,,,
1.695667028427124,Very high,Moving,Very high,Low,-475.0,-355.0,2232.0,-8.0,-4.0,-7.0,,,
1.7181611061096191,Very high,Moving,Very high,Low,-429.0,-322.0,2129.0,-10.0,-4.0,-9.0,,,
1.7374839782714844,Very high,Moving,Very high,Low,-425.0,-349.0,2071.0,-12.0,-4.0,-11.0,,,
1.7573602199554443,Very high,Moving,Very high,Low,-400.0,-386.0,1982.0,-13.0,-3.0,-12.0,,,
1.759075403213501,Very high,Moving,Very high,Low,,,,,,,0.31110215187072754,0.813571572303772,0.8192062973976135
1.7782456874847412,Very high,Moving,Very high,Low,-272.0,-494.0,2010.0,-14.0,1.0,-15.0,,,
1.7988512516021729,Very high,Moving,Very high,Low,-200.0,-580.0,2187.0,-14.0,0.0,-17.0,,,
1.819221019744873,Very high,Moving,Very high,Low,-178.0,-704.0,2349.0,-14.0,-2.0,-17.0,,,
1.8392481803894043,Very high,Moving,Very high,Low,,,,,,,0.284233421087265,0.7691596746444702,0.8290756344795227
1.8397026062011719,Very high,Moving,Very high,Low,-326.0,-870.0,2389.0,-13.0,-3.0,-18.0,,,
1.859713077545166,Very high,Moving,Very high,Low,-389.0,-903.0,2355.0,-13.0,-3.0,-18.0,,,
1.880676507949829,Very high,Moving,Very high,Low,-385.0,-932.0,2292.0,-12.0,-4.0,-17.0,,,
1.9009695053100586,Very high,Moving,Very high,Low,-338.0,-952.0,2097.0,-10.0,-5.0,-14.0,,,
1.9212768077850342,Very high,Moving,Very high,Low,-317.0,-979.0,2022.0,-9.0,-4.0,-13.0,,,
1.9285807609558105,Very high,Moving,Very high,Low,,,,,,,0.29651233553886414,0.7246699929237366,0.838962197303772
1.9415991306304932,Very high,Moving,Very high,Low,-297.0,-998.0,1997.0,-8.0,-3.0,-12.0,,,
1.963165283203125,Very high,Moving,Very high,Low,-336.0,-986.0,2003.0,-7.0,-2.0,-10.0,,,
1.982562780380249,Very high,Moving,Very high,Low,-415.0,-948.0,1992.0,-6.0,-2.0,-9.0,,,
2.002361536026001,Very high,Moving,Very high,Low,,,,,,,0.2972041070461273,0.6822734475135803,0.8483836650848389
2.004185438156128,Very high,Moving,Very high,Low,-545.0,-942.0,1974.0,-7.0,-5.0,-11.0,,,
2.0233893394470215,Very high,Moving,Very high,Low,-524.0,-1014.0,1971.0,-7.0,-6.0,-13.0,,,
2.0448482036590576,Very high,Moving,Very high,Low,-506.0,-1054.0,1997.0,-8.0,-7.0,-15.0,,,
2.0643081665039062,Very high,Moving,Very high,Low,-510.0,-1047.0,2155.0,-9.0,-10.0,-19.0,,,
2.084946393966675,Very high,Moving,Very high,Low,-485.0,-1016.0,2267.0,-9.0,-11.0,-20.0,,,
2.0915894508361816,Very high,Moving,Very high,Low,,,,,,,0.26018622517585754,0.6574809551239014,0.8538931012153625
2.1059889793395996,Very high,Moving,Very high,Low,-428.0,-994.0,2398.0,-8.0,-11.0,-21.0,,,
2.1260807514190674,Very high,Moving,Very high,Low,-299.0,-907.0,2611.0,-6.0,-7.0,-20.0,,,
2.1430535316467285,Very high,Moving,Very high,Low,-270.0,-767.0,2693.0,-6.0,-5.0,-20.0,,,
2.162778615951538,Very high,Moving,Very high,Low,-300.0,-552.0,2791.0,-5.0,-3.0,-20.0,,,
2.1705126762390137,Very high,Moving,Very high,Low,,,,,,,0.25663599371910095,0.6432442665100098,0.8570568561553955
2.1832733154296875,Very high,Moving,Very high,Low,-464.0,-40.0,2864.0,-5.0,-1.0,-24.0,,,
2.205092430114746,Very high,Moving,Very high,Low,-596.0,161.0,2786.0,-5.0,-1.0,-26.0,,,
2.224480152130127,Very high,Moving,Very high,Low,-695.0,283.0,2648.0,-3.0,0.0,-27.0,,,
2.244865894317627,Very high,Moving,Very high,Low,-753.0,349.0,2537.0,-2.0,1.0,-26.0,,,
2.2564492225646973,Very high,Moving,Very high,Low,,,,,,,0.3161090016365051,0.6591762900352478,0.8535163998603821
2.2663116455078125,Very high,Moving,Very high,Low,-785.0,396.0,2520.0,-2.0,0.0,-24.0,,,
2.2855224609375,Very high,Moving,Very high,Low,-743.0,641.0,2639.0,-1.0,-1.0,-16.0,,,
2.307276964187622,Very high,Moving,Very high,Low,-729.0,885.0,2774.0,-3.0,0.0,-13.0,,,
2.326411724090576,Very high,Moving,Very high,Low,-653.0,1078.0,2871.0,-6.0,-2.0,-13.0,,,
2.3374714851379395,Very high,Moving,Very high,Low,,,,,,,0.3370509445667267,0.6782541871070862,0.8492768406867981
2.3474345207214355,Very high,Moving,Very high,Low,-335.0,1203.0,2654.0,-13.0,-8.0,-19.0,,,
2.3675405979156494,Very high,Moving,Very high,Low,-216.0,1173.0,2499.0,-16.0,-7.0,-21.0,,,
