time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Medium,Inactive,High,Very low,-841.0,466.0,1161.0,-4.0,2.0,1.0,0.3448794186115265,0.8334320187568665,0.8147928714752197
0.0,Medium,Inactive,High,Very low,-841.0,466.0,1161.0,-4.0,2.0,1.0,0.3448794186115265,0.8334320187568665,0.8147928714752197
0.020701169967651367,Medium,Inactive,High,Very low,-794.0,416.0,1154.0,-4.0,0.0,2.0,,,
0.04039716720581055,Medium,Inactive,High,Very low,-777.0,395.0,1135.0,-3.0,1.0,0.0,,,
0.06195473670959473,Medium,Inactive,High,Very low,-746.0,414.0,1204.0,-3.0,1.0,1.0,,,
0.0699317455291748,Medium,Inactive,High,Very low,,,,,,,0.3334047496318817,0.8356075882911682,0.8143094182014465
0.08149313926696777,Medium,Inactive,High,Very low,-663.0,414.0,1186.0,-3.0,1.0,2.0,,,
0.10341691970825195,Medium,Inactive,High,Very low,-575.0,441.0,1141.0,-3.0,1.0,2.0,,,
0.12253284454345703,Medium,Inactive,High,Very low,-518.0,507.0,1123.0,-4.0,-1.0,0.0,,,
0.13459062576293945,Medium,Inactive,High,Very low,,,,,,,0.33933502435684204,0.8356334567070007,0.8143036961555481
0.14342594146728516,Medium,Inactive,High,Very low,-548.0,515.0,1157.0,-3.0,-2.0,-1.0,,,
0.1638338565826416,Medium,Inactive,High,Very low,-589.0,486.0,1180.0,-3.0,-3.0,-1.0,,,
0.18396544456481934,Medium,Inactive,High,Very low,-574.0,463.0,1165.0,-4.0,-3.0,-2.0,,,
0.20424103736877441,Medium,Inactive,High,Very low,-557.0,443.0,1151.0,-4.0,-4.0,0.0,,,
0.20443129539489746,Medium,Inactive,High,Very low,,,,,,,0.32527872920036316,0.8370702266693115,0.8139843940734863
0.2254171371459961,Medium,Inactive,High,Very low,-584.0,375.0,1109.0,-5.0,-4.0,2.0,,,
0.24536585807800293,Medium,Inactive,High,Very low,-610.0,350.0,1105.0,-5.0,-5.0,1.0,,,
0.26650428771972656,Medium,Inactive,High,Very low,-635.0,342.0,1119.0,-5.0,-6.0,1.0,,,
0.26715922355651855,Medium,Inactive,High,Very low,,,,,,,0.3199807107448578,0.8364847898483276,0.814114511013031
0.28637218475341797,Medium,Inactive,High,Very low,-705.0,332.0,1159.0,-4.0,-5.0,1.0,,,
0.3067293167114258,Medium,Inactive,High,Very low,-729.0,334.0,1186.0,-4.0,-4.0,1.0,,,
0.32730937004089355,Medium,Inactive,High,Very low,-720.0,345.0,1202.0,-5.0,-4.0,2.0,,,
0.3361191749572754,Medium,Inactive,High,Very low,,,,,,,0.3194121718406677,0.8371764421463013,0.8139607906341553
0.34792089462280273,Medium,Inactive,High,Very low,-665.0,384.0,1208.0,-5.0,-4.0,2.0,,,
0.3704030513763428,Medium,Inactive,High,Very low,-634.0,422.0,1203.0,-5.0,-4.0,2.0,,,
0.3889639377593994,Medium,Inactive,High,Very low,-623.0,457.0,1219.0,-5.0,-4.0,2.0,,,
0.4003598690032959,Medium,Inactive,High,Very low,,,,,,,0.31220072507858276,0.8417787551879883,0.8129380345344543
0.4093747138977051,Medium,Inactive,High,Very low,-691.0,456.0,1236.0,-6.0,-6.0,2.0,,,
0.4346179962158203,Medium,Inactive,High,Very low,-744.0,447.0,1205.0,-5.0,-6.0,0.0,,,
0.4541294574737549,Medium,Inactive,High,Very low,-779.0,392.0,1136.0,-4.0,-3.0,-2.0,,,
0.4665381908416748,Medium,Inactive,High,Very low,,,,,,,0.32165783643722534,0.8405753374099731,0.8132054805755615
0.4769740104675293,Medium,Inactive,High,Very low,-766.0,365.0,1131.0,-4.0,-1.0,-2.0,,,
0.49515676498413086,Medium,Inactive,High,Very low,-744.0,388.0,1136.0,-4.0,1.0,-1.0,,,
0.5157113075256348,Medium,Inactive,High,Very low,-667.0,456.0,1263.0,-4.0,1.0,3.0,,,
0.5360894203186035,Medium,Inactive,High,Very low,-652.0,409.0,1354.0,-6.0,-6.0,5.0,,,
0.5361607074737549,Medium,Inactive,High,Very low,,,,,,,0.32117724418640137,0.8419967889785767,0.812889575958252
0.5566058158874512,Medium,Inactive,High,Very low,-681.0,366.0,1257.0,-6.0,-8.0,2.0,,,
0.5777966976165771,Medium,Inactive,High,Very low,-731.0,364.0,1168.0,-5.0,-4.0,1.0,,,
0.5975155830383301,Medium,Inactive,High,Very low,-781.0,351.0,1131.0,-4.0,1.0,0.0,,,
0.6024870872497559,Medium,Inactive,High,Very low,,,,,,,0.32084760069847107,0.8583281636238098,0.8092604279518127
0.6178078651428223,Medium,Inactive,High,Very low,-778.0,284.0,1209.0,-3.0,5.0,3.0,,,
0.635200023651123,Medium,Inactive,High,Very low,-753.0,267.0,1225.0,-3.0,4.0,5.0,,,
0.6553869247436523,Medium,Inactive,High,Very low,-720.0,285.0,1239.0,-4.0,2.0,4.0,,,
0.6695501804351807,Medium,Inactive,High,Very low,,,,,,,0.33301496505737305,0.8867617249488831,0.8029418587684631
0.6780354976654053,Medium,Inactive,High,Very low,-728.0,387.0,1259.0,-3.0,3.0,4.0,,,
0.6982529163360596,Medium,Inactive,High,Very low,-777.0,446.0,1252.0,-2.0,5.0,5.0,,,
0.7161402702331543,Medium,Inactive,High,Very low,-835.0,481.0,1262.0,-1.0,7.0,7.0,,,
0.7368416786193848,Medium,Inactive,High,Very low,-951.0,469.0,1313.0,-1.0,8.0,11.0,,,
0.73726487159729,Medium,Inactive,High,Very low,,,,,,,0.3290107250213623,0.914027750492096,0.7968827486038208
0.7576301097869873,Medium,Inactive,High,Very low,-971.0,407.0,1325.0,-1.0,7.0,12.0,,,
0.7779319286346436,Medium,Inactive,High,Very low,-972.0,340.0,1301.0,0.0,7.0,11.0,,,
0.799072265625,Medium,Inactive,High,Very low,-950.0,296.0,1234.0,0.0,8.0,10.0,,,
0.8049647808074951,Medium,Inactive,High,Very low,,,,,,,0.3477974832057953,0.9447401762008667,0.7900577187538147
0.8191144466400146,Medium,Inactive,High,Very low,-957.0,296.0,1202.0,0.0,9.0,10.0,,,
0.8391306400299072,Medium,Inactive,High,Very low,-986.0,245.0,1214.0,0.0,8.0,13.0,,,
0.8596599102020264,Medium,Inactive,High,Very low,-975.0,240.0,1234.0,0.0,8.0,13.0,,,
0.8640873432159424,Medium,Inactive,High,Very low,,,,,,,0.3447909653186798,0.9840487837791443,0.7813224792480469
0.8810315132141113,Medium,Inactive,High,Very low,-964.0,238.0,1280.0,-1.0,8.0,12.0,,,
0.9011821746826172,Medium,Inactive,High,Very low,-977.0,179.0,1364.0,0.0,8.0,11.0,,,
0.921668291091919,Medium,Inactive,High,Very low,-982.0,185.0,1338.0,0.0,8.0,10.0,,,
0.9307491779327393,Medium,Inactive,High,Very low,,,,,,,0.33425599336624146,1.0308434963226318,0.7709236741065979
0.9424147605895996,Medium,Inactive,High,Very low,-1023.0,176.0,1297.0,0.0,8.0,9.0,,,
0.9629611968994141,Medium,Inactive,High,Very low,-1085.0,119.0,1223.0,0.0,7.0,9.0,,,
0.9827835559844971,Medium,Inactive,High,Very low,-1091.0,126.0,1169.0,0.0,7.0,8.0,,,
1.0005028247833252,Medium,Inactive,High,Very low,,,,,,,0.33182454109191895,1.0497835874557495,0.7667147517204285
1.0030624866485596,Medium,Inactive,High,Very low,-1086.0,174.0,1126.0,0.0,9.0,6.0,,,
1.023470163345337,Medium,Inactive,High,Very low,-1013.0,233.0,1243.0,0.0,7.0,6.0,,,
1.0444591045379639,Medium,Inactive,High,Very low,-958.0,163.0,1349.0,-2.0,0.0,8.0,,,
1.0648527145385742,Medium,Inactive,High,Very low,,,,,,,0.32548826932907104,1.067299485206604,0.7628223299980164
1.0659139156341553,Medium,Inactive,High,Very low,-954.0,157.0,1277.0,-3.0,-1.0,4.0,,,
1.0847711563110352,Medium,Inactive,High,Very low,-1005.0,211.0,1263.0,-2.0,3.0,3.0,,,
1.1055376529693604,Medium,Inactive,High,Very low,-1071.0,247.0,1297.0,-1.0,6.0,3.0,,,
1.125793695449829,Medium,Inactive,High,Very low,-1078.0,166.0,1380.0,-2.0,2.0,6.0,,,
1.129211187362671,Medium,Inactive,High,Very low,,,,,,,0.33319979906082153,1.083379864692688,0.7592489123344421
1.146369457244873,Medium,Inactive,High,Very low,-1038.0,83.0,1289.0,-3.0,-1.0,7.0,,,
1.1675240993499756,Medium,Inactive,High,Very low,-1018.0,33.0,1167.0,-3.0,-3.0,6.0,,,
1.1901230812072754,Medium,Inactive,High,Very low,-1063.0,20.0,1023.0,-3.0,-1.0,3.0,,,
1.2023613452911377,Medium,Inactive,High,Very low,,,,,,,0.32677045464515686,1.0940126180648804,0.7568860650062561
1.2077522277832031,Medium,Inactive,High,Very low,-1116.0,26.0,1066.0,-3.0,1.0,3.0,,,
1.229079008102417,Medium,Inactive,High,Very low,-1163.0,64.0,1144.0,-3.0,2.0,2.0,,,
1.2485835552215576,Medium,Inactive,High,Very low,-1237.0,145.0,1294.0,-3.0,3.0,4.0,,,
1.266901969909668,Medium,Inactive,High,Very low,,,,,,,0.34256941080093384,1.1016730070114136,0.755183756351471
1.2691066265106201,Medium,Inactive,High,Very low,-1230.0,133.0,1312.0,-3.0,1.0,6.0,,,
1.2898929119110107,Medium,Inactive,High,Very low,-1197.0,121.0,1258.0,-3.0,1.0,6.0,,,
1.3104171752929688,Medium,Inactive,High,Very low,-1130.0,95.0,1220.0,-2.0,2.0,4.0,,,
1.3309211730957031,Medium,Inactive,High,Very low,-1116.0,84.0,1203.0,-2.0,2.0,5.0,,,
1.3441059589385986,Medium,Inactive,High,Very low,,,,,,,0.34028759598731995,1.097117304801941,0.756196141242981
1.351104497909546,Medium,Inactive,High,Very low,-1139.0,86.0,1121.0,-3.0,3.0,6.0,,,
1.3722889423370361,Medium,Inactive,High,Very low,-1147.0,114.0,1087.0,-2.0,3.0,6.0,,,
1.3923423290252686,Medium,Inactive,High,Very low,-1163.0,158.0,1076.0,-2.0,5.0,5.0,,,
1.412611961364746,Medium,Inactive,High,Very low,-1085.0,257.0,1203.0,-2.0,5.0,3.0,,,
1.4333994388580322,Medium,Inactive,High,Very low,-1029.0,282.0,1279.0,-2.0,4.0,3.0,,,
1.4335803985595703,Medium,Inactive,High,Very low,,,,,,,0.32307693362236023,1.0600653886795044,0.7644299268722534
1.4533777236938477,Medium,Inactive,High,Very low,-989.0,287.0,1290.0,-2.0,3.0,2.0,,,
1.4748189449310303,Medium,Inactive,High,Very low,-944.0,412.0,1177.0,-1.0,8.0,-1.0,,,
1.4949731826782227,Medium,Inactive,High,Very low,-903.0,512.0,1140.0,0.0,10.0,-4.0,,,
1.5063307285308838,Medium,Inactive,High,Very low,,,,,,,0.3190518319606781,1.0521160364151,0.7661964297294617
1.514925479888916,Medium,Inactive,High,Very low,-806.0,552.0,1195.0,0.0,9.0,-4.0,,,
1.5360982418060303,Medium,Inactive,High,Very low,-510.0,487.0,1224.0,-3.0,1.0,-8.0,,,
1.5573127269744873,Medium,Inactive,High,Very low,-331.0,555.0,1111.0,-3.0,4.0,-16.0,,,
1.577359914779663,Medium,Inactive,High,Very low,-9.0,689.0,951.0,-4.0,8.0,-24.0,,,
1.5888171195983887,Medium,Inactive,High,Very low,,,,,,,0.32210999727249146,1.065449833869934,0.7632333636283875
1.597348928451538,Medium,Inactive,High,Very low,60.0,751.0,859.0,-5.0,9.0,-27.0,,,
1.617295503616333,Medium,Inactive,High,Very low,137.0,869.0,752.0,-7.0,7.0,-28.0,,,
1.6379311084747314,Medium,Inactive,High,Very low,49.0,1013.0,789.0,-9.0,2.0,-24.0,,,
1.659031629562378,Medium,Inactive,High,Very low,-46.0,1050.0,976.0,-10.0,-1.0,-22.0,,,
1.6644723415374756,Medium,Inactive,High,Very low,,,,,,,0.3385660946369171,1.0477302074432373,0.7671710848808289
1.6790249347686768,Medium,Inactive,High,Very low,-91.0,1044.0,1142.0,-10.0,-3.0,-23.0,,,
1.700049638748169,Medium,Inactive,High,Very low,-36.0,1003.0,1354.0,-11.0,-1.0,-31.0,,,
1.7157268524169922,Medium,Inactive,High,Very low,-5.0,943.0,1395.0,-11.0,-1.0,-37.0,,,
1.7314090728759766,Medium,Inactive,High,Very low,,,,,,,0.3273571729660034,1.0396857261657715,0.7689587473869324
1.736863613128662,Medium,Inactive,High,Very low,-37.0,848.0,1393.0,-11.0,-2.0,-39.0,,,
1.7569262981414795,Medium,Inactive,High,Very low,-103.0,736.0,1275.0,-12.0,-6.0,-38.0,,,
1.7770559787750244,Medium,Inactive,High,Very low,-188.0,787.0,1099.0,-12.0,-3.0,-35.0,,,
1.7982325553894043,Medium,Inactive,High,Very low,-106.0,1040.0,871.0,-13.0,3.0,-35.0,,,
1.8083076477050781,Medium,Inactive,High,Very low,,,,,,,0.3394886255264282,1.0298351049423218,0.7711477279663086
1.817925214767456,Medium,Inactive,High,Very low,617.0,1532.0,466.0,-13.0,6.0,-56.0,,,
1.838531255722046,Medium,Inactive,High,Very low,541.0,1369.0,650.0,-11.0,3.0,-51.0,,,
1.859128475189209,Medium,Inactive,High,Very low,-163.0,715.0,960.0,-4.0,-5.0,-29.0,,,
1.8793425559997559,Medium,Inactive,High,Very low,-459.0,636.0,641.0,3.0,2.0,-21.0,,,
1.8931212425231934,Medium,Inactive,High,Very low,,,,,,,0.3301098942756653,1.005090594291687,0.7766465544700623
1.9002814292907715,Medium,Inactive,High,Very low,-559.0,839.0,444.0,8.0,15.0,-9.0,,,
1.9205715656280518,Medium,Inactive,High,Very low,-367.0,1510.0,170.0,10.0,21.0,4.0,,,
1.9409420490264893,Medium,Inactive,High,Very low,-361.0,1595.0,-235.0,8.0,22.0,5.0,,,
1.9620308876037598,Medium,Inactive,High,Very low,-117.0,1172.0,-307.0,7.0,25.0,4.0,,,
1.9664537906646729,Medium,Inactive,High,Very low,,,,,,,0.33379846811294556,0.999667763710022,0.7778515815734863
1.9818904399871826,Medium,Inactive,High,Very low,713.0,-389.0,677.0,-11.0,17.0,-44.0,,,
2.0037734508514404,Medium,Inactive,High,Very low,211.0,-760.0,2193.0,-11.0,15.0,-55.0,,,
2.022732973098755,Medium,Inactive,High,Very low,-503.0,-349.0,3380.0,-9.0,11.0,-52.0,,,
2.0319724082946777,Medium,Inactive,High,Very low,,,,,,,0.33362147212028503,0.9859877824783325,0.7808915972709656
2.0450968742370605,Medium,Inactive,High,Very low,-2286.0,1233.0,4182.0,8.0,11.0,-16.0,,,
2.0642404556274414,Medium,Inactive,High,Very low,-2708.0,1739.0,3459.0,14.0,16.0,0.0,,,
2.0842926502227783,Medium,Inactive,High,Very low,-1845.0,2361.0,1259.0,17.0,23.0,-3.0,,,
2.1051101684570312,Medium,Inactive,High,Very low,-896.0,2415.0,347.0,13.0,17.0,-11.0,,,
2.108168363571167,Medium,Inactive,High,Very low,,,,,,,0.3368530869483948,0.9526929259300232,0.7882904410362244
2.125267267227173,Medium,Inactive,High,Very low,17.0,2343.0,-443.0,7.0,12.0,-19.0,,,
2.1458399295806885,Medium,Inactive,High,Very low,1304.0,2049.0,-1620.0,-6.0,6.0,-28.0,,,
2.167445421218872,Medium,Inactive,High,Very low,1465.0,1948.0,-1810.0,-9.0,8.0,-32.0,,,
2.1865200996398926,Medium,Inactive,High,Very low,1268.0,1955.0,-1539.0,-10.0,13.0,-37.0,,,
2.1943700313568115,Medium,Inactive,High,Very low,,,,,,,0.317777156829834,0.9163095951080322,0.7963756322860718
2.208425283432007,Medium,Inactive,High,Very low,152.0,1742.0,91.0,-2.0,14.0,-39.0,,,
2.2280566692352295,Medium,Inactive,High,Very low,-332.0,1487.0,1023.0,-1.0,10.0,-34.0,,,
2.2482359409332275,Medium,Inactive,High,Very low,-455.0,1301.0,1715.0,-3.0,3.0,-28.0,,,
2.2683351039886475,Medium,Inactive,High,Very low,,,,,,,0.27488911151885986,0.8649444580078125,0.8077901005744934
2.268998622894287,Medium,Inactive,High,Very low,116.0,1739.0,2657.0,-4.0,-9.0,-31.0,,,
2.2892911434173584,Medium,Inactive,High,Very low,232.0,1987.0,2984.0,-9.0,-16.0,-29.0,,,
2.3098268508911133,Medium,Inactive,High,Very low,-7.0,1993.0,3085.0,-13.0,-15.0,-17.0,,,
2.330939292907715,Medium,Inactive,High,Very low,-701.0,1281.0,2899.0,-11.0,-5.0,-1.0,,,
2.3391976356506348,Medium,Inactive,High,Very low,,,,,,,0.27218377590179443,0.8283333778381348,0.8159258961677551
2.3504536151885986,Medium,Inactive,High,Very low,-1079.0,644.0,2542.0,-6.0,-5.0,-10.0,,,
2.371518850326538,Medium,Inactive,High,Very low,-1084.0,-1054.0,758.0,0.0,-20.0,-18.0,,,
2.3913564682006836,Medium,Inactive,High,Very low,-703.0,-1545.0,172.0,2.0,-23.0,-16.0,,,
2.401296854019165,Medium,Inactive,High,Very low,,,,,,,0.33175235986709595,0.8447601795196533,0.8122755289077759
2.41227650642395,Medium,Inactive,High,Very low,-384.0,-1745.0,37.0,0.0,-21.0,-6.0,,,
2.4325649738311768,Medium,Inactive,High,Very low,-511.0,-1219.0,693.0,5.0,-3.0,6.0,,,
2.452904224395752,Medium,Inactive,High,Very low,-485.0,-867.0,1164.0,7.0,-3.0,1.0,,,
2.47341251373291,Medium,Inactive,High,Very low,-172.0,-969.0,1503.0,7.0,-10.0,-8.0,,,
2.4760212898254395,Medium,Inactive,High,Very low,,,,,,,0.34999701380729675,0.8698945045471191,0.8066900968551636
2.494373083114624,Medium,Inactive,High,Very low,754.0,-1822.0,1434.0,0.0,-16.0,-18.0,,,
2.5143837928771973,Medium,Inactive,High,Very low,998.0,-1775.0,1222.0,-4.0,-17.0,-14.0,,,
2.5362930297851562,Medium,Inactive,High,Very low,912.0,-1271.0,998.0,-5.0,-19.0,-10.0,,,
2.5552239418029785,Medium,Inactive,High,Very low,316.0,77.0,521.0,1.0,-27.0,-15.0,,,
2.5647079944610596,Medium,Inactive,High,Very low,,,,,,,0.36455458402633667,0.8862773180007935,0.8030495047569275
2.576094150543213,Medium,Inactive,High,Very low,141.0,444.0,241.0,5.0,-30.0,-20.0,,,
2.5969631671905518,Medium,Inactive,High,Very low,141.0,598.0,-137.0,7.0,-30.0,-22.0,,,
2.616921901702881,Medium,Inactive,High,Very low,630.0,733.0,-1112.0,5.0,-23.0,-16.0,,,
2.6364800930023193,Medium,Inactive,High,Very low,,,,,,,0.3727129399776459,0.914518415927887,0.7967736721038818
2.638150930404663,Medium,Inactive,High,Very low,859.0,860.0,-1380.0,3.0,-16.0,-10.0,,,
2.6576526165008545,Medium,Inactive,High,Very low,725.0,1228.0,-1213.0,-1.0,-10.0,5.0,,,
2.678102731704712,Medium,Inactive,High,Very low,534.0,1393.0,-1121.0,-1.0,-8.0,10.0,,,
2.701220989227295,Medium,Inactive,High,Very low,415.0,1544.0,-969.0,2.0,-5.0,13.0,,,
2.701855182647705,Medium,Inactive,High,Very low,,,,,,,0.40396490693092346,0.9157798290252686,0.7964933514595032
2.7194414138793945,Medium,Inactive,High,Very low,552.0,1117.0,-344.0,7.0,0.0,21.0,,,
2.7397849559783936,Medium,Inactive,High,Very low,888.0,575.0,-138.0,8.0,7.0,19.0,,,
2.760399103164673,Medium,Inactive,High,Very low,1412.0,197.0,67.0,8.0,14.0,16.0,,,
2.767397165298462,Medium,Inactive,High,Very low,,,,,,,0.4146125316619873,0.9152799248695374,0.7966044545173645
2.780576705932617,Medium,Inactive,High,Very low,2760.0,861.0,555.0,4.0,8.0,8.0,,,
2.7973432540893555,Medium,Inactive,High,Very low,2995.0,1447.0,566.0,3.0,4.0,1.0,,,
2.8176698684692383,Medium,Inactive,High,Very low,2910.0,1894.0,520.0,3.0,3.0,-4.0,,,
2.8375778198242188,Medium,Inactive,High,Very low,,,,,,,0.43199771642684937,0.9127455353736877,0.7971676588058472
2.8383781909942627,Medium,Inactive,High,Very low,1841.0,1914.0,364.0,9.0,-1.0,1.0,,,
2.85888934135437,Medium,Inactive,High,Very low,1356.0,1977.0,135.0,15.0,-7.0,4.0,,,
2.8789241313934326,Medium,Inactive,High,Very low,869.0,1758.0,-875.0,21.0,-10.0,8.0,,,
2.900167465209961,Medium,Inactive,High,Very low,937.0,1190.0,-1445.0,21.0,-1.0,7.0,,,
2.902919292449951,Medium,Inactive,High,Very low,,,,,,,0.45597484707832336,0.9062620997428894,0.7986084222793579
2.9197912216186523,Medium,Inactive,High,Very low,1416.0,654.0,-1721.0,16.0,11.0,1.0,,,
2.944324254989624,Medium,Inactive,High,Very low,2893.0,-188.0,-1259.0,1.0,16.0,-17.0,,,
2.965714693069458,Medium,Inactive,High,Very low,3307.0,-782.0,-722.0,-4.0,17.0,-24.0,,,
2.9698691368103027,Medium,Inactive,High,Very low,,,,,,,0.4730128049850464,0.9028750061988831,0.7993611097335815
2.985318183898926,Medium,Inactive,High,Very low,2551.0,-1346.0,895.0,-22.0,8.0,-43.0,,,
,,,,,,,,,,,,,
1.5063307285308838,Medium,Sprinting,Very high,High,,,,,,,0.3190518319606781,1.0521160364151,0.7661964297294617
1.514925479888916,Medium,Sprinting,Very high,High,-806.0,552.0,1195.0,0.0,9.0,-4.0,,,
1.5360982418060303,Medium,Sprinting,Very high,High,-510.0,487.0,1224.0,-3.0,1.0,-8.0,,,
1.5573127269744873,Medium,Sprinting,Very high,High,-331.0,555.0,1111.0,-3.0,4.0,-16.0,,,
1.577359914779663,Medium,Sprinting,Very high,High,-9.0,689.0,951.0,-4.0,8.0,-24.0,,,
1.5888171195983887,Medium,Sprinting,Very high,High,,,,,,,0.32210999727249146,1.065449833869934,0.7632333636283875
1.597348928451538,Medium,Sprinting,Very high,High,60.0,751.0,859.0,-5.0,9.0,-27.0,,,
1.617295503616333,Medium,Sprinting,Very high,High,137.0,869.0,752.0,-7.0,7.0,-28.0,,,
1.6379311084747314,Medium,Sprinting,Very high,High,49.0,1013.0,789.0,-9.0,2.0,-24.0,,,
1.659031629562378,Medium,Sprinting,Very high,High,-46.0,1050.0,976.0,-10.0,-1.0,-22.0,,,
1.6644723415374756,Medium,Sprinting,Very high,High,,,,,,,0.3385660946369171,1.0477302074432373,0.7671710848808289
1.6790249347686768,Medium,Sprinting,Very high,High,-91.0,1044.0,1142.0,-10.0,-3.0,-23.0,,,
1.700049638748169,Medium,Sprinting,Very high,High,-36.0,1003.0,1354.0,-11.0,-1.0,-31.0,,,
1.7157268524169922,Medium,Sprinting,Very high,High,-5.0,943.0,1395.0,-11.0,-1.0,-37.0,,,
1.7314090728759766,Medium,Sprinting,Very high,High,,,,,,,0.3273571729660034,1.0396857261657715,0.7689587473869324
1.736863613128662,Medium,Sprinting,Very high,High,-37.0,848.0,1393.0,-11.0,-2.0,-39.0,,,
1.7569262981414795,Medium,Sprinting,Very high,High,-103.0,736.0,1275.0,-12.0,-6.0,-38.0,,,
1.7770559787750244,Medium,Sprinting,Very high,High,-188.0,787.0,1099.0,-12.0,-3.0,-35.0,,,
1.7982325553894043,Medium,Sprinting,Very high,High,-106.0,1040.0,871.0,-13.0,3.0,-35.0,,,
1.8083076477050781,Medium,Sprinting,Very high,High,,,,,,,0.3394886255264282,1.0298351049423218,0.7711477279663086
1.817925214767456,Medium,Sprinting,Very high,High,617.0,1532.0,466.0,-13.0,6.0,-56.0,,,
1.838531255722046,Medium,Sprinting,Very high,High,541.0,1369.0,650.0,-11.0,3.0,-51.0,,,
1.859128475189209,Medium,Sprinting,Very high,High,-163.0,715.0,960.0,-4.0,-5.0,-29.0,,,
1.8793425559997559,Medium,Sprinting,Very high,High,-459.0,636.0,641.0,3.0,2.0,-21.0,,,
1.8931212425231934,Medium,Sprinting,Very high,High,,,,,,,0.3301098942756653,1.005090594291687,0.7766465544700623
1.9002814292907715,Medium,Sprinting,Very high,High,-559.0,839.0,444.0,8.0,15.0,-9.0,,,
1.9205715656280518,Medium,Sprinting,Very high,High,-367.0,1510.0,170.0,10.0,21.0,4.0,,,
1.9409420490264893,Medium,Sprinting,Very high,High,-361.0,1595.0,-235.0,8.0,22.0,5.0,,,
1.9620308876037598,Medium,Sprinting,Very high,High,-117.0,1172.0,-307.0,7.0,25.0,4.0,,,
1.9664537906646729,Medium,Sprinting,Very high,High,,,,,,,0.33379846811294556,0.999667763710022,0.7778515815734863
1.9818904399871826,Medium,Sprinting,Very high,High,713.0,-389.0,677.0,-11.0,17.0,-44.0,,,
2.0037734508514404,Medium,Sprinting,Very high,High,211.0,-760.0,2193.0,-11.0,15.0,-55.0,,,
2.022732973098755,Medium,Sprinting,Very high,High,-503.0,-349.0,3380.0,-9.0,11.0,-52.0,,,
2.0319724082946777,Medium,Sprinting,Very high,High,,,,,,,0.33362147212028503,0.9859877824783325,0.7808915972709656
2.0450968742370605,Medium,Sprinting,Very high,High,-2286.0,1233.0,4182.0,8.0,11.0,-16.0,,,
2.0642404556274414,Medium,Sprinting,Very high,High,-2708.0,1739.0,3459.0,14.0,16.0,0.0,,,
2.0842926502227783,Medium,Sprinting,Very high,High,-1845.0,2361.0,1259.0,17.0,23.0,-3.0,,,
2.1051101684570312,Medium,Sprinting,Very high,High,-896.0,2415.0,347.0,13.0,17.0,-11.0,,,
2.108168363571167,Medium,Sprinting,Very high,High,,,,,,,0.3368530869483948,0.9526929259300232,0.7882904410362244
2.125267267227173,Medium,Sprinting,Very high,High,17.0,2343.0,-443.0,7.0,12.0,-19.0,,,
2.1458399295806885,Medium,Sprinting,Very high,High,1304.0,2049.0,-1620.0,-6.0,6.0,-28.0,,,
2.167445421218872,Medium,Sprinting,Very high,High,1465.0,1948.0,-1810.0,-9.0,8.0,-32.0,,,
2.1865200996398926,Medium,Sprinting,Very high,High,1268.0,1955.0,-1539.0,-10.0,13.0,-37.0,,,
2.1943700313568115,Medium,Sprinting,Very high,High,,,,,,,0.317777156829834,0.9163095951080322,0.7963756322860718
2.208425283432007,Medium,Sprinting,Very high,High,152.0,1742.0,91.0,-2.0,14.0,-39.0,,,
2.2280566692352295,Medium,Sprinting,Very high,High,-332.0,1487.0,1023.0,-1.0,10.0,-34.0,,,
2.2482359409332275,Medium,Sprinting,Very high,High,-455.0,1301.0,1715.0,-3.0,3.0,-28.0,,,
2.2683351039886475,Medium,Sprinting,Very high,High,,,,,,,0.27488911151885986,0.8649444580078125,0.8077901005744934
2.268998622894287,Medium,Sprinting,Very high,High,116.0,1739.0,2657.0,-4.0,-9.0,-31.0,,,
2.2892911434173584,Medium,Sprinting,Very high,High,232.0,1987.0,2984.0,-9.0,-16.0,-29.0,,,
2.3098268508911133,Medium,Sprinting,Very high,High,-7.0,1993.0,3085.0,-13.0,-15.0,-17.0,,,
2.330939292907715,Medium,Sprinting,Very high,High,-701.0,1281.0,2899.0,-11.0,-5.0,-1.0,,,
2.3391976356506348,Medium,Sprinting,Very high,High,,,,,,,0.27218377590179443,0.8283333778381348,0.8159258961677551
2.3504536151885986,Medium,Sprinting,Very high,High,-1079.0,644.0,2542.0,-6.0,-5.0,-10.0,,,
2.371518850326538,Medium,Sprinting,Very high,High,-1084.0,-1054.0,758.0,0.0,-20.0,-18.0,,,
2.3913564682006836,Medium,Sprinting,Very high,High,-703.0,-1545.0,172.0,2.0,-23.0,-16.0,,,
2.401296854019165,Medium,Sprinting,Very high,High,,,,,,,0.33175235986709595,0.8447601795196533,0.8122755289077759
2.41227650642395,Medium,Sprinting,Very high,High,-384.0,-1745.0,37.0,0.0,-21.0,-6.0,,,
2.4325649738311768,Medium,Sprinting,Very high,High,-511.0,-1219.0,693.0,5.0,-3.0,6.0,,,
